0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:24:55 +0530] "GET /LestLearnBootstrap/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:24:55 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:24:55 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:24:55 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:28:42 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:28:42 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:28:42 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:28:42 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:29:22 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:36:43 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:36:43 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:36:43 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:36:43 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:37:06 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:37:18 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:37:28 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:37:38 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:38:11 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:38:22 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:38:34 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:38:48 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:35 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:35 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:35 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:35 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:42 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=jhfjgj HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:42 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:42 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:42 +0530] "GET /LestLearnBootstrap/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:40:43 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:45:19 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:45:19 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:45:19 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:45:19 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:46:57 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:47:42 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:48:18 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:49:01 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:49:01 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:49:01 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:50:10 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:50:10 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:50:31 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=jhfjgj HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:50:31 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:50:31 +0530] "GET /LestLearnBootstrap/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:50:31 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:50:32 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:52:44 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:52:44 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:12:52:44 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:03 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:04 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:04 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:04 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:04 +0530] "GET /LestLearnBootstrap/img/mountain.png HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:24 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 2813
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:24 +0530] "GET /LestLearnBootstrap/img/mountain.png HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:59 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:08:59 +0530] "GET /LestLearnBootstrap/img/mountains.png HTTP/1.1" 200 2049121
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:15:35 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=kjk HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:17:23 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=jhfjgj HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:17:24 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:17:24 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:17:24 +0530] "GET /LestLearnBootstrap/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:14:17:25 +0530] "GET /LestLearnBootstrap/img/mountains.png HTTP/1.1" 200 2049121
